threshold,tar,far
0.43790337,0.98766667,0.95333333
0.43829879,0.98733333,0.95333333
0.43855187,0.98733333,0.95300000
0.43859139,0.98733333,0.95266667
0.43910444,0.98733333,0.95233333
0.43988475,0.98733333,0.95200000
0.44057119,0.98700000,0.95200000
0.44115192,0.98666667,0.95200000
0.44131646,0.98666667,0.95166667
0.44174471,0.98666667,0.95133333
0.44306257,0.98666667,0.95100000
0.44328412,0.98633333,0.95100000
0.44336268,0.98633333,0.95066667
0.44354814,0.98633333,0.95033333
0.44496512,0.98633333,0.95000000
0.44545987,0.98633333,0.94966667
0.44551560,0.98633333,0.94933333
0.44585374,0.98600000,0.94933333
0.44690952,0.98566667,0.94933333
0.44943288,0.98533333,0.94933333
0.44985375,0.98533333,0.94900000
0.45312452,0.98533333,0.94866667
0.45322272,0.98500000,0.94866667
0.45420983,0.98500000,0.94833333
0.45461494,0.98500000,0.94800000
0.45467630,0.98466667,0.94800000
0.45535386,0.98433333,0.94800000
0.45861909,0.98433333,0.94766667
0.45887950,0.98433333,0.94733333
0.45906430,0.98433333,0.94700000
0.45912892,0.98433333,0.94666667
0.45944580,0.98400000,0.94666667
0.46003619,0.98400000,0.94633333
0.46039096,0.98400000,0.94600000
0.46141347,0.98400000,0.94566667
0.46213868,0.98400000,0.94533333
0.46277893,0.98400000,0.94500000
0.46378404,0.98366667,0.94500000
0.46412417,0.98366667,0.94466667
0.46485418,0.98333333,0.94466667
0.46507725,0.98333333,0.94433333
0.46514094,0.98333333,0.94400000
0.46536583,0.98333333,0.94366667
0.46557406,0.98300000,0.94366667
0.46566340,0.98300000,0.94333333
0.46592006,0.98266667,0.94333333
0.46697301,0.98266667,0.94300000
0.46737289,0.98233333,0.94300000
0.46862438,0.98233333,0.94266667
0.46881449,0.98233333,0.94233333
0.46888754,0.98233333,0.94200000
0.46927708,0.98233333,0.94166667
0.47002470,0.98233333,0.94133333
0.47010231,0.98233333,0.94100000
0.47027642,0.98200000,0.94100000
0.47127298,0.98200000,0.94066667
0.47163734,0.98200000,0.94033333
0.47168157,0.98200000,0.94000000
0.47247663,0.98200000,0.93966667
0.47292238,0.98200000,0.93933333
0.47313792,0.98200000,0.93900000
0.47356421,0.98200000,0.93866667
0.47404808,0.98200000,0.93833333
0.47530276,0.98200000,0.93800000
0.47712380,0.98200000,0.93766667
0.47806317,0.98200000,0.93733333
0.47912121,0.98200000,0.93700000
0.47959694,0.98166667,0.93700000
0.48011476,0.98166667,0.93666667
0.48048341,0.98166667,0.93633333
0.48195916,0.98166667,0.93600000
0.48368469,0.98133333,0.93600000
0.48406267,0.98133333,0.93566667
0.48455694,0.98133333,0.93533333
0.48536319,0.98133333,0.93500000
0.48537195,0.98133333,0.93466667
0.48599115,0.98100000,0.93466667
0.48668265,0.98066667,0.93466667
0.48886371,0.98066667,0.93433333
0.48916620,0.98066667,0.93400000
0.48974723,0.98033333,0.93400000
0.49092129,0.98033333,0.93366667
0.49255815,0.98033333,0.93333333
0.49266967,0.98033333,0.93300000
0.49286744,0.98033333,0.93266667
0.49357629,0.98033333,0.93233333
0.49386877,0.98000000,0.93233333
0.49581093,0.98000000,0.93200000
0.49603724,0.98000000,0.93166667
0.49606013,0.97966667,0.93166667
0.49646005,0.97933333,0.93166667
0.49748969,0.97933333,0.93133333
0.49797028,0.97900000,0.93133333
0.49857399,0.97866667,0.93133333
0.49915349,0.97833333,0.93133333
0.49947730,0.97833333,0.93100000
0.49985909,0.97800000,0.93100000
0.49987531,0.97800000,0.93066667
0.50023377,0.97800000,0.93033333
0.50094581,0.97800000,0.93000000
0.50107378,0.97800000,0.92966667
0.50122607,0.97766667,0.92966667
0.50142705,0.97733333,0.92966667
0.50226140,0.97733333,0.92933333
0.50259203,0.97733333,0.92900000
0.50324845,0.97733333,0.92866667
0.50418448,0.97733333,0.92833333
0.50635123,0.97733333,0.92800000
0.50639129,0.97733333,0.92766667
0.50663114,0.97700000,0.92766667
0.50702429,0.97700000,0.92733333
0.50839567,0.97700000,0.92700000
0.50872421,0.97666667,0.92700000
0.50905955,0.97633333,0.92700000
0.50927842,0.97633333,0.92666667
0.51065606,0.97600000,0.92666667
0.51069170,0.97600000,0.92633333
0.51109171,0.97600000,0.92600000
0.51184320,0.97600000,0.92566667
0.51184893,0.97600000,0.92533333
0.51249284,0.97566667,0.92533333
0.51250279,0.97566667,0.92500000
0.51258957,0.97566667,0.92466667
0.51366568,0.97533333,0.92466667
0.51387239,0.97533333,0.92433333
0.51475948,0.97533333,0.92400000
0.51584250,0.97533333,0.92366667
0.51617390,0.97500000,0.92366667
0.51671761,0.97466667,0.92366667
0.51702428,0.97466667,0.92333333
0.51723731,0.97466667,0.92300000
0.51738656,0.97433333,0.92300000
0.51822102,0.97400000,0.92300000
0.51887959,0.97400000,0.92266667
0.52041316,0.97366667,0.92266667
0.52192843,0.97366667,0.92233333
0.52264917,0.97366667,0.92200000
0.52388513,0.97366667,0.92166667
0.52398378,0.97366667,0.92133333
0.52411604,0.97366667,0.92100000
0.52575028,0.97333333,0.92100000
0.52587807,0.97300000,0.92100000
0.52600515,0.97300000,0.92066667
0.52609217,0.97300000,0.92033333
0.52641702,0.97300000,0.92000000
0.52654326,0.97300000,0.91966667
0.52706248,0.97266667,0.91966667
0.52707165,0.97233333,0.91966667
0.52736139,0.97233333,0.91933333
0.52798688,0.97233333,0.91900000
0.52807033,0.97200000,0.91900000
0.52813387,0.97200000,0.91866667
0.52838612,0.97166667,0.91866667
0.52945095,0.97133333,0.91866667
0.52947903,0.97133333,0.91833333
0.53043234,0.97133333,0.91800000
0.53051651,0.97100000,0.91800000
0.53064793,0.97100000,0.91766667
0.53070122,0.97066667,0.91766667
